id,entry_time,judge_time,signal,actual_direction,entry_close,result_close,price_diff,up_prob,down_prob,confidence,delay_minutes,result
20260627_0600,2026-06-27T06:00:00+09:00,2026-06-29T08:00:00+09:00,HIGH,,161.72999572753906,161.79600524902344,,0.785044,0.214956,0.785044,,WIN
20260629_1500,2026-06-29T15:00:00+09:00,2026-06-29T16:00:00+09:00,SKIP,,161.79400634765625,161.82000732421875,,0.675378,0.324622,0.675378,,NO_TRADE
20260629_1700,2026-06-29T17:00:00+09:00,2026-06-29T18:00:00+09:00,SKIP,,161.7989959716797,161.83299255371094,,0.64796,0.35204,0.64796,,NO_TRADE
20260629_1800,2026-06-29T18:00:00+09:00,2026-06-29T19:00:00+09:00,SKIP,,161.83299255371094,161.8520050048828,,0.699854,0.300146,0.699854,,NO_TRADE
20260629_2200,2026-06-29T22:00:00+09:00,2026-06-29T23:00:00+09:00,SKIP,LOW,161.927001953125,161.9239959716797,-0.003006,0.631955,0.368045,0.631955,,NO_TRADE
20260630_0000,2026-06-30T00:00:00+09:00,2026-06-30T01:00:00+09:00,SKIP,LOW,161.93600463867188,161.927001953125,-0.009003,0.646269,0.353731,0.646269,25,NO_TRADE
20260630_0100,2026-06-30T01:00:00+09:00,2026-06-30T02:00:00+09:00,SKIP,HIGH,161.927001953125,161.93499755859375,0.007996,0.564822,0.435178,0.564822,15,NO_TRADE
20260630_0200,2026-06-30T02:00:00+09:00,2026-06-30T03:00:00+09:00,SKIP,HIGH,161.93499755859375,161.94200134277344,0.007004,0.541768,0.458232,0.541768,4,NO_TRADE
20260630_0300,2026-06-30T03:00:00+09:00,2026-06-30T04:00:00+09:00,SKIP,FLAT,161.94200134277344,161.94200134277344,0.0,0.302639,0.697361,0.697361,31,NO_TRADE
20260630_0700,2026-06-30T07:00:00+09:00,2026-06-30T08:00:00+09:00,HIGH,LOW,161.92599487304688,161.9149932861328,-0.011002,0.88634,0.11366,0.88634,14,LOSE
20260630_0800,2026-06-30T08:00:00+09:00,2026-06-30T09:00:00+09:00,SKIP,HIGH,161.9149932861328,161.95599365234375,0.041,0.67275,0.32725,0.67275,18,NO_TRADE
20260630_0900,2026-06-30T09:00:00+09:00,2026-06-30T10:00:00+09:00,HIGH,HIGH,161.95599365234375,162.12399291992188,0.167999,0.779373,0.220627,0.779373,33,WIN
20260630_1000,2026-06-30T10:00:00+09:00,2026-06-30T11:00:00+09:00,SKIP,HIGH,162.12399291992188,162.1479949951172,0.024002,0.428333,0.571667,0.571667,2,NO_TRADE
20260630_1200,2026-06-30T12:00:00+09:00,2026-06-30T13:00:00+09:00,SKIP,HIGH,162.1529998779297,162.177001953125,0.024002,0.483626,0.516374,0.516374,5,NO_TRADE
20260630_1300,2026-06-30T13:00:00+09:00,2026-06-30T14:00:00+09:00,SKIP,HIGH,162.177001953125,162.1820068359375,0.005005,0.421675,0.578325,0.578325,1,NO_TRADE
20260630_1400,2026-06-30T14:00:00+09:00,2026-06-30T15:00:00+09:00,LOW,HIGH,162.1820068359375,162.32200622558594,0.139999,0.199682,0.800318,0.800318,2,LOSE
20260630_1500,2026-06-30T15:00:00+09:00,2026-06-30T16:00:00+09:00,LOW,LOW,162.32200622558594,162.1909942626953,-0.131012,0.238882,0.761118,0.761118,2,WIN
